fid,Zone ID,Trap ID,Type of Trap,Zone Name,x,y,OBJECTID_count
1,31,311,BG Sentinell II,Bexley,-82.93398756,39.96662068,223
2,18,182,BG Sentinell II,Blendon,-82.91298689,40.09580555,221
3,71,712,BG Sentinell II,Brown,-83.24303718,40.01974151,169
4,43,432,BG Sentinell II,Canal Winchester,-82.81449861,39.84199673,162
5,81,812,BG Sentinell II,Clinton West,-83.03239154,39.99517712,185
6,94,942,BG Sentinell II,Dublin North,-83.12941888,40.13693782,286
7,91,912,BG Sentinell II,Dublin South,-83.16260032,40.08234693,156
8,61,612,BG Sentinell II,Franklin South,-83.04478706,39.93291419,206
9,26,262,BG Sentinell II,Gahanna South,-82.8634164,40.01098938,185
10,82,822,BG Sentinell II,Grandview Heights,-83.04616134,39.97688829,281
11,54,542,BG Sentinell II,Grove City Central,-83.06193105,39.86956143,165
12,45,452,BG Sentinell II,Groveport,-82.8816522,39.85250103,145
13,47,472,BG Sentinell II,Hamilton,-82.97792809,39.85660617,143
14,72,722,BG Sentinell II,Hilliard Northwest,-83.16920715,40.04589906,133
15,56,562,BG Sentinell II,Jackson,-83.0354737,39.81182733,197
16,27,272,BG Sentinell II,Jefferson North,-82.79649187,40.04122906,174
17,44,442,BG Sentinell II,Madison,-82.86938116,39.90186879,143
18,16,162,BG Sentinell II,Mifflin/Clinton,-82.95339242,40.02416172,261
19,17,172,BG Sentinell II,Minerva Park,-82.93320649,40.07760682,230
20,22,222,BG Sentinell II,New Albany South,-82.8254632,40.05815265,336
21,76,762,BG Sentinell II,Norwich,-83.10946932,40.04642534,172
22,46,462,BG Sentinell II,Obetz,-82.95929146,39.87782302,225
23,97,972,BG Sentinell II,Perry South,-83.06280248,40.09913778,405
24,41,412,BG Sentinell II,Pickerington North,-82.74764356,39.88932919,
25,66,662,BG Sentinell II,Pleasant North,-83.16222409,39.88134376,216
26,63,632,BG Sentinell II,Prairie North,-83.11984821,39.95956271,143
27,37,372,BG Sentinell II,Reynoldsburg Southwest,-82.81601356,39.93984548,179
28,96,962,BG Sentinell II,Sharon South,-83.02345879,40.069808,190
29,84,842,BG Sentinell II,Upper Arlington Central,-83.07548295,40.03152395,225
30,51,512,BG Sentinell II,Urbancrest,-83.08913247,39.89975024,332
31,12,122,BG Sentinell II,Westerville North,-82.90994686,40.1411891,321
32,15,152,BG Sentinell II,Westerville South,-82.90385877,40.10313485,248
33,33,332,BG Sentinell II,Whitehall West,-82.89772471,39.96423618,246
34,31,311,CDC,Bexley,-82.93398756,39.96662068,223
35,18,181,CDC,Blendon,-82.91298689,40.09580555,221
36,71,711,CDC,Brown,-83.24291916,40.01972097,226
37,43,431,CDC,Canal Winchester,-82.81449861,39.84199673,162
38,81,811,CDC,Clinton West,-83.03239154,39.99517712,185
39,92,921,CDC,Dublin Central,-83.1373144,40.11223491,201
40,95,951,CDC,Dublin East,-83.10311684,40.11854817,252
41,94,941,CDC,Dublin North,-83.12941888,40.13693782,286
42,93,931,CDC,Dublin Northwest,-83.16702999,40.1236823,127
43,91,911,CDC,Dublin South,-83.16260032,40.08234693,156
44,62,621,CDC,Franklin North,-83.07446149,39.9648614,168
45,61,611,CDC,Franklin South,-83.04478548,39.93294412,217
46,24,241,CDC,Gahanna Central,-82.87357319,40.03981987,234
47,25,251,CDC,Gahanna East,-82.85474323,40.04423308,150
48,26,261,CDC,Gahanna South,-82.86341103,40.01100786,181
49,23,231,CDC,Gahanna West,-82.89092316,40.03182768,103
50,82,821,CDC,Grandview Heights,-83.04616134,39.97688829,281
51,54,541,CDC,Grove City Central,-83.06193105,39.86956143,165
52,52,521,CDC,Grove City North,-83.0672371,39.89620286,186
53,55,551,CDC,Grove City South,-83.06377359,39.84942696,160
54,53,531,CDC,Grove City West,-83.11228976,39.88854432,138
55,45,451,CDC,Groveport,-82.8816522,39.85250103,145
56,47,471,CDC,Hamilton,-82.97791736,39.85659793,141
57,73,731,CDC,Hilliard Northeast,-83.14636949,40.05494242,238
58,72,721,CDC,Hilliard Northwest,-83.16920715,40.04589906,133
59,75,751,CDC,Hilliard Southeast,-83.1377162,40.02536634,234
60,74,741,CDC,Hilliard Southwest,-83.19955354,40.01879324,32
61,56,561,CDC,Jackson,-83.03546297,39.81179436,211
62,27,271,CDC,Jefferson North,-82.79649187,40.04122906,174
63,28,281,CDC,Jefferson South,-82.80140708,40.00812132,248
64,44,441,CDC,Madison,-82.86938116,39.90186879,143
65,16,161,CDC,Mifflin/Clinton,-82.95339242,40.02416172,261
66,17,171,CDC,Minerva Park,-82.93320649,40.07760682,230
67,21,211,CDC,New Albany North,-82.80279303,40.09552288,342
68,22,221,CDC,New Albany South,-82.8254632,40.05815265,336
69,76,761,CDC,Norwich,-83.10946932,40.04642534,172
70,46,461,CDC,Obetz,-82.95929146,39.87782302,225
71,97,971,CDC,Perry South,-83.06280248,40.09913778,405
72,98,981,CDC,Perry/Sharon North,-83.04371099,40.13111139,342
73,41,411,CDC,Pickerington North,-82.74764356,39.88932919,
74,42,421,CDC,Pickerington South,-82.76227047,39.87978824,
75,66,661,CDC,Pleasant North,-83.16222409,39.88133964,214
76,67,671,CDC,Pleasant South,-83.18620406,39.85191328,256
77,63,631,CDC,Prairie North,-83.11984821,39.95956271,143
78,65,651,CDC,Prairie South,-83.17322559,39.9275598,84
79,64,641,CDC,Prairie West,-83.22524062,39.9639827,122
80,36,361,CDC,Reynoldsburg Northeast,-82.77617409,39.97024595,95
81,35,351,CDC,Reynoldsburg Northwest,-82.80876105,39.96328501,152
82,38,381,CDC,Reynoldsburg Southeast,-82.78520777,39.94654154,141
83,37,371,CDC,Reynoldsburg Southwest,-82.81601356,39.93984548,179
84,96,961,CDC,Sharon South,-83.02345879,40.069808,190
85,84,841,CDC,Upper Arlington Central,-83.07548295,40.03152395,225
86,85,851,CDC,Upper Arlington North,-83.07134879,40.05017587,269
87,83,831,CDC,Upper Arlington South,-83.06428036,40.00314675,205
88,51,511,CDC,Urbancrest,-83.08913247,39.89975024,332
89,13,131,CDC,Westerville Central,-82.91233244,40.1310342,233
90,14,141,CDC,Westerville East,-82.89365823,40.11712136,200
91,12,121,CDC,Westerville North,-82.90994686,40.1411891,321
92,15,151,CDC,Westerville South,-82.90385877,40.10313485,248
93,11,111,CDC,Westerville West,-82.95098032,40.12608833,177
94,34,341,CDC,Whitehall East,-82.8628096,39.96277415,170
95,33,331,CDC,Whitehall West,-82.89772471,39.96423618,246
96,31,310,Gravid,Bexley North,-82.93509364,39.97247131,293
97,32,320,Gravid,Bexley South,-82.93264864,39.95300014,223
98,18,180,Gravid,Blendon,-82.9038796,40.08589751,372
99,71,710,Gravid,Brown,-83.20764701,40.02029954,34
100,43,430,Gravid,Canal Winchester,-82.81443387,39.84193614,155
101,81,810,Gravid,Clinton West,-83.03210377,39.99575005,182
102,92,920,Gravid,Dublin Central,-83.12772282,40.11166001,280
103,95,950,Gravid,Dublin East,-83.10662354,40.11962394,329
104,94,940,Gravid,Dublin North,-83.1270968,40.13440106,202
105,93,930,Gravid,Dublin Northwest,-83.16237183,40.12096922,224
106,91,910,Gravid,Dublin South,-83.16552372,40.08315112,147
107,62,620,Gravid,Franklin North,-83.0934737,39.97267121,80
108,61,610,Gravid,Franklin South,-83.03976903,39.92946439,185
109,24,240,Gravid,Gahanna Central,-82.86924193,40.03709508,255
110,25,250,Gravid,Gahanna East,-82.85320508,40.04308446,311
111,26,260,Gravid,Gahanna South,-82.85995731,40.01184801,134
112,23,230,Gravid,Gahanna West,-82.8927516,40.03063197,146
113,82,820,Gravid,Grandview Heights,-83.03592073,39.97670154,157
114,54,540,Gravid,Grove City Central,-83.06126668,39.86949884,186
115,52,520,Gravid,Grove City North,-83.0712548,39.89686637,141
116,55,550,Gravid,Grove City South,-83.06385996,39.84913595,172
117,53,530,Gravid,Grove City West,-83.11240809,39.88854811,132
118,45,450,Gravid,Groveport,-82.88163965,39.8523866,154
119,47,470,Gravid,Hamilton,-82.97481431,39.8570412,158
120,73,730,Gravid,Hilliard Northeast,-83.14648312,40.05451008,229
121,72,720,Gravid,Hilliard Northwest,-83.16863306,40.04215077,73
122,75,750,Gravid,Hilliard Southeast,-83.13670914,40.02560819,225
123,74,740,Gravid,Hilliard Southwest,-83.16477466,40.01096623,199
124,56,560,Gravid,Jackson,-83.03544687,39.81180672,207
125,27,270,Gravid,Jefferson North,-82.79637528,40.0423121,201
126,28,280,Gravid,Jefferson South,-82.8034522,40.00912006,137
127,44,440,Gravid,Madison,-82.87079271,39.90045805,295
128,16,160,Gravid,Mifflin/Clinton,-82.95494817,40.02474106,276
129,17,170,Gravid,Minerva Park,-82.9392332,40.07518092,66
130,21,210,Gravid,New Albany North,-82.80724878,40.09499709,229
131,22,220,Gravid,New Albany South,-82.82627833,40.05849009,336
132,76,760,Gravid,Norwich,-83.1072608,40.04547777,273
133,46,460,Gravid,Obetz,-82.95937127,39.87670636,271
134,97,970,Gravid,Perry South,-83.06097333,40.09926934,419
135,98,980,Gravid,Perry/Sharon North,-83.04069251,40.12779808,273
136,41,410,Gravid,Pickerington North,-82.76819645,39.89566603,
137,42,420,Gravid,Pickerington South,-82.76366709,39.87362504,
138,66,660,Gravid,Pleasant North,-83.15877237,39.88375078,169
139,67,670,Gravid,Pleasant South,-83.1905708,39.84982524,272
140,63,630,Gravid,Prairie North,-83.13131035,39.95916414,226
141,65,650,Gravid,Prairie South,-83.17435394,39.92737962,149
142,64,640,Gravid,Prairie West,-83.23018796,39.95500403,76
143,36,360,Gravid,Reynoldsburg Northeast,-82.77344828,39.96693509,179
144,35,350,Gravid,Reynoldsburg Northwest,-82.81035239,39.96914402,338
145,38,380,Gravid,Reynoldsburg Southeast,-82.78498517,39.94662416,194
146,37,370,Gravid,Reynoldsburg Southwest,-82.81927112,39.93888839,151
147,96,960,Gravid,Sharon South,-83.02945579,40.07184198,161
148,84,840,Gravid,Upper Arlington Central,-83.07080705,40.03086693,160
149,85,850,Gravid,Upper Arlington North,-83.07160773,40.04834331,223
150,83,830,Gravid,Upper Arlington South,-83.06295647,40.01124105,355
151,51,510,Gravid,Urbancrest,-83.08867938,39.89750615,265
152,13,130,Gravid,Westerville Central,-82.91246121,40.12158864,305
153,14,140,Gravid,Westerville East,-82.89497287,40.12450698,232
154,12,120,Gravid,Westerville North,-82.90981964,40.14149248,350
155,15,150,Gravid,Westerville South,-82.90785995,40.10635479,158
156,11,110,Gravid,Westerville West,-82.95175633,40.12876109,210
157,34,340,Gravid,Whitehall East,-82.86214861,39.96274164,264
158,33,330,Gravid,Whitehall West,-82.89574352,39.95907771,275
